sigma acceleration 0.0001
sigma position 0.5
dpred 0.121338 0.121338 0.121338
dpred 0.160338 0.160338 0.160338
gain 0.242812 0.242812 0.242812
dpred 0.121406 0.121406 0.121406
dpred 0.160406 0.160406 0.160406
gain 0.24289 0.24289 0.24289
dpred 0.121445 0.121445 0.121445
dpred 0.160445 0.160445 0.160445
gain 0.242935 0.242935 0.242935
dpred 0.121467 0.121467 0.121467
dpred 0.160467 0.160467 0.160467
gain 0.24296 0.24296 0.24296
dpred 0.12148 0.12148 0.12148
dpred 0.16048 0.16048 0.16048
gain 0.242975 0.242975 0.242975
dpred 0.121487 0.121487 0.121487
dpred 0.160487 0.160487 0.160487
gain 0.242983 0.242983 0.242983
dpred 0.121492 0.121492 0.121492
dpred 0.160492 0.160492 0.160492
gain 0.242988 0.242988 0.242988
dpred 0.121494 0.121494 0.121494
dpred 0.160494 0.160494 0.160494
gain 0.242991 0.242991 0.242991
dpred 0.121495 0.121495 0.121495
dpred 0.160495 0.160495 0.160495
gain 0.242993 0.242993 0.242993
dpred 0.121496 0.121496 0.121496
dpred 0.160496 0.160496 0.160496
gain 0.242993 0.242993 0.242993
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242994 0.242994 0.242994
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242994 0.242994 0.242994
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242994 0.242994 0.242994
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
gain 0.242995 0.242995 0.242995
dpred 0.121497 0.121497 0.121497
dpred 0.160497 0.160497 0.160497
